,From,From_FAF_Zone,To,To_FAF_Zone,trips,sctg2_code
5806258,120430003002,129,120990037002,122,2.1452889944275655,1
5806580,120430003002,129,120310102021,121,0.6225630717104187,1
5806704,120430003002,129,120860046021,122,0.855159868003734,1
5807039,120430003002,129,120499701011,129,1.521185968515312,1
5807052,120430003002,129,120310027011,121,3.246698126118722,1
5808244,120430003002,129,121030272091,124,1.116799792839154,1
5808327,120430003002,129,121030202061,124,1.2013935027918328,1
5808697,120430003002,129,120150304012,129,2.4878420712589997,1
5808971,120430003002,129,120710401131,129,1.2607728322108118,1
5809647,120430003002,129,121030204003,124,0.8392389429682802,1
5809912,120430003002,129,120111106001,122,5.742614362525181,1
5810087,120430003002,129,120310103011,121,1.225325523054139,1
5810718,120430003002,129,120190312001,121,0.6656257223082273,1
5811096,120430003002,129,121150020052,129,1.994523250727058,1
5942366,120970410011,123,121079506003,121,0.6750322264594382,1
6285566,120690312023,123,121079506003,121,0.8737277687422903,1
6342766,120599604001,129,121079506003,121,1.147624179000441,1
6628766,120690309021,123,121079506003,121,0.6160577559703461,1
7086366,120299702003,129,121079506003,121,0.8377121753388624,1
7338046,120010022053,129,121079506003,121,0.9340602909915049,1
7715566,120850016021,122,121079506003,121,4.858705637188234,1
7716272,120850016021,122,120210102102,129,1.3954609755748286,1
7717532,120850016021,122,120310027011,121,0.7087644541600981,1
7719177,120850016021,122,120150304012,129,0.5431037808804068,1
7720392,120850016021,122,120111106001,122,1.2536308507907956,1
7727006,120850017003,122,121079506003,121,1.4958640540205868,1
7733280,120850017003,122,120860029001,122,4.671192259459435,1
7736005,120850017002,122,120310003003,121,1.3077941561837103,1
7736769,120850017002,122,120990080021,122,1.0523974120047264,1
7738192,120850017002,122,121030252081,124,0.535068707073717,1
7738446,120850017002,122,121079506003,121,14.810768135353118,1
7738447,120850017002,122,121079507001,121,0.6325078485748885,1
7738587,120850017002,122,120210109053,129,1.3208423257428235,1
7739152,120850017002,122,120210102102,129,4.253776724603776,1
