,sctg2,rmse,iter_count,top_rop,top_attr,top_orig,top_dest,threshold
32,4,14815.574728450054,7,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
33,4,14815.58208512075,8,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
34,4,14815.580772810974,9,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
35,4,14815.581006591576,10,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
36,4,14815.580968884844,11,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
37,4,14815.580975392459,12,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
38,4,14815.580974377277,13,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
39,4,14815.580974521383,14,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
40,4,14815.580974456057,15,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
41,4,14815.580974425277,16,"[120479603001.0, 121050117321.0, 121050115012.0, 121030250043.0, 121030250091.0, 121030251191.0, 120310103041.0, 121030281032.0, 120010022173.0, 120710014014.0]","[120479603001.0, 120310103041.0, 120010022173.0, 120010012032.0, 120710401181.0, 121030225023.0, 121050122051.0, 120710104073.0, 120090647005.0, 120710102033.0]","[121050116062, 120330008001, 120510003001, 120710401151, 120150304012, 120090650011, 120510003001, 120710017033, 120730025091, 120210109053]","[121050116062, 120330008001, 120430002002, 120710401151, 120150304012, 120090650011, 120710017033, 120710401151, 120730025091, 120510003001]",1000
